idade,genero,ds_ensino_medio,ds_ingresso,cd_curso,valor_mensalidade_liquido,qtd_mensalidade_paga_atraso,qtd_semestres_curso,qtd_reprovacoes,coeficiente_rendimento,situacao,evasao,media_acessos_por_dia,semestres_existencia_curso,categoria_motivo_cancelamento,qtd_professores,qtd_professores_mestrado,qtd_professores_doutorado,qtd_professores_especialista,qtd_professores_graduado,qtd_professores_M,qtd_professores_F,idade_media_professores,cluster
40,F,Não informado,Vestibular,EDU.ESP_EAD,307.98614,0,8,3,6.09,CONCLUIDO,0,1.6954022988505748,10,NA,13.0,5,1,6,1,0,13,42.46153846153846,4
46,F,Escola Pública,Vestibular,EDU.ESP_EAD,307.98614,0,8,0,8.15,CONCLUIDO,0,2.316804407713499,10,NA,18.0,5,4,8,1,2,16,47.333333333333336,0
46,F,Escola Pública,Vestibular,HIST_EAD,307.80433,0,8,1,5.2,TRANCADA,0,2.316804407713499,10,NA,9.0,2,1,5,1,1,8,45.55555555555556,0
26,F,Escola Pública,Segunda Graduação,ADM_EAD,335.55657,2,8,5,4.62,TRANCADA,0,0.014792899408284,8,NA,15.0,5,2,8,0,3,12,43.2,3
31,F,Escola Pública,Segunda Graduação,EDU.ESP_EAD,307.549796,4,8,0,7.5,CONCLUIDO,0,0.4913793103448275,10,NA,18.0,5,4,8,1,2,16,47.333333333333336,0
33,F,Não informado,Vestibular,PROC_GERE,99.0,5,4,8,4.7,CONCLUIDO,0,0.093484419263456,14,NA,15.0,3,2,10,0,3,12,41.8,1
35,F,Escola Pública,Vestibular,LED_FIS_EAD,362.52914,0,8,1,6.2,CONCLUIDO,0,0.8079470198675497,4,NA,11.0,2,0,8,1,1,10,46.45454545454545,4
29,F,Não informado,Vestibular,ADM_EAD,308.16795,5,8,3,0.0,ABANDONO,1,0.0515463917525773,8,Problemas Técnicos ou Administrativos,15.0,2,2,10,1,1,14,46.0,0
23,F,Não informado,Vestibular,ADM_EAD,307.80433,0,8,0,8.05,CONCLUIDO,0,0.8230337078651685,8,NA,14.0,2,2,8,2,3,11,45.57142857142857,0
23,F,Não informado,Vestibular,ADM_EAD,307.80433,0,8,0,8.05,CONCLUIDO,0,0.8230337078651685,8,NA,12.0,2,1,8,1,1,11,45.333333333333336,0
